"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","153447","Tested the functionality related to - Email Send Date","chromium","Fri Nov 08 19:02:11 IST 2024","passed","Fri Nov 08 19:04:45 IST 2024","","ctkEmail_EmailSendDate.spec.js","",""
"","126424","Tested the functionality related to - Attachment File Name","chromium","Fri Nov 08 18:54:58 IST 2024","passed","Fri Nov 08 18:57:04 IST 2024","","ctkEmail_AttachmentFileName.spec.js","",""
"","124276","Tested the functionality related to From Filter","chromium","Fri Nov 08 18:24:11 IST 2024","passed","Fri Nov 08 18:26:16 IST 2024","","ctkEmail_From.spec.js","",""
"","119548","Tested the functionality related to Attach To Record and Attach As - File (ContentDocument)","chromium","Fri Nov 08 18:57:32 IST 2024","passed","Fri Nov 08 18:59:31 IST 2024","","ctkEmail_AttachToRecord.spec.js","",""
"","122020","Test the Functionality Related to Header Filter","chromium","Fri Nov 08 18:38:53 IST 2024","passed","Fri Nov 08 18:40:55 IST 2024","","ctkEmail_Header.spec.js","",""
"","128400","Test the functionality related to From Name Filter","chromium","Fri Nov 08 18:26:35 IST 2024","passed","Fri Nov 08 18:28:44 IST 2024","","ctkEmail_FromName.spec.js","",""
"","128976","Test the functionality related to Subject Filter","chromium","Fri Nov 08 18:41:10 IST 2024","passed","Fri Nov 08 18:43:19 IST 2024","","ctkEmail_Subject.spec.js","",""
"","134006","Test the Functionality Related to Attachment","chromium","Fri Nov 08 18:47:19 IST 2024","passed","Fri Nov 08 18:49:33 IST 2024","","ctkEmail_Attachment.spec.js","",""
"","168105","Test the functionality related to - TO Filter","chromium","Fri Nov 08 18:43:32 IST 2024","passed","Fri Nov 08 18:46:20 IST 2024","","ctkEmail_To.spec.js","",""
"","241306","Test the functionality related to CC Filter","chromium","Fri Nov 08 18:19:03 IST 2024","passed","Fri Nov 08 18:23:05 IST 2024","","ctkEmail_CC.spec.js","",""
